ORGANISM_CODE,ORGANISM_NAME,ORGANISM_TYPE,ORGANISM_TYPE_DESCRIPTION,IS_COMMON,EXTRACTION_DATE,DATA_SOURCE
CLV,Clavibacter sp.,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
CMA,Clostridium malenominatum,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
CMB,Calymmatobacterium sp.,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
CMC,CDC Coryneform Group G-1,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
CMC,Corynebacterium macginleyi,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
CME,Chilomastix mesnili,w,Other,No,2025-05-26,WHONET Organisms.txt
CMF,Corynebacterium mucifaciens,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
CMG,Clavibacter michiganensis michiganensis,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
CMG,Clavibacter michiganense ss. michiganense,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
CMG,Corynebacterium michiganense,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
CMI,Corynebacterium minutissimum,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
CML,Citrobacter amalonaticus,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
CMN,Candida magnoliae,f,Fungus,No,2025-05-26,WHONET Organisms.txt
CMO,Catonella morbi,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
CMT,Corynebacterium matruchotii,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
CMU,Campylobacter mucosalis,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
CMV,Cytomegalovirus,v,Unknown,Yes,2025-05-26,WHONET Organisms.txt
CMX,Cimex (bed bugs) sp.,i,Unknown,No,2025-05-26,WHONET Organisms.txt
CMY,Corynebacterium mycetoides,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
CNA,Clostridium novyi type A,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
CNA,Clostridium oedematiens type A,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
CNB,Clostridium oedematiens type B,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
CNB,Clostridium novyi type B,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
CNE,Cryptococcus neoformans,f,Fungus,No,2025-05-26,WHONET Organisms.txt
CNI,Corynebacterium nigricans,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
CNO,Clostridium novyi,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
CNP,Wickerhamomyces anomalus,f,Fungus,No,2025-05-26,WHONET Organisms.txt
CNP,Candida pelliculosa,f,Fungus,No,2025-05-26,WHONET Organisms.txt
CNR,Candida nivariensis,f,Fungus,No,2025-05-26,WHONET Organisms.txt
CNT,Cedecea neteri,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
CNT,Cedecea sp. 4,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
CNV,Candida norvegensis,f,Fungus,No,2025-05-26,WHONET Organisms.txt
CNV,Pichia norvegensis,f,Fungus,No,2025-05-26,WHONET Organisms.txt
CNX,Clostridium nexile,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
COC,Coccidioides sp.,f,Fungus,No,2025-05-26,WHONET Organisms.txt
COD,Conidiobolus sp.,f,Fungus,No,2025-05-26,WHONET Organisms.txt
COL,Candida colliculosa,f,Fungus,No,2025-05-26,WHONET Organisms.txt
COM,Comamonas sp.,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
CON,Contaminated specimen,o,Unknown,No,2025-05-26,WHONET Organisms.txt
COO,Cryptosporidium sp.,w,Other,No,2025-05-26,WHONET Organisms.txt
COP,Salmonella Copenhagen,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
COR,Corynebacterium sp.,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
COT,Contracaecum sp.,w,Other,No,2025-05-26,WHONET Organisms.txt
COU,Clostridium oroticum,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
COV,Coronavirus,v,Unknown,No,2025-05-26,WHONET Organisms.txt
COX,Coxiella sp.,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
CPA,Candida parapsilosis,f,Fungus,No,2025-05-26,WHONET Organisms.txt
CPB,Corynebacterium pseudotuberculosis,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
CPC,Coprococcus sp.,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
CPD,Corynebacterium pseudodiphtheriticum,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
CPE,Clostridium perfringens,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
CPF,Clostridium piliforme,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
CPH,Capillaria philippinensis,w,Other,No,2025-05-26,WHONET Organisms.txt
CPI,Corynebacterium pilosum,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
CPL,Metschnikowia pulcherrima,f,Fungus,No,2025-05-26,WHONET Organisms.txt
CPL,Candida pulcherrima,f,Fungus,No,2025-05-26,WHONET Organisms.txt
CPM,Chlamydophila pecorum,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
CPN,TWAR,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
CPN,Chlamydia pneumoniae,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
CPN,Chlamydophila pneumoniae,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
CPO,Centipeda periodontii,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
CPP,Clostridium paraputrificum,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
CPQ,Corynebacterium propinquum,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
CPR,Chrysosporium parvum var. parvum,f,Fungus,No,2025-05-26,WHONET Organisms.txt
CPR,Ajellomyces crescens,f,Fungus,No,2025-05-26,WHONET Organisms.txt
CPS,Candida kefyr,f,Fungus,No,2025-05-26,WHONET Organisms.txt
CPS,Candida pseudotropicalis,f,Fungus,No,2025-05-26,WHONET Organisms.txt
CPT,Chlamydia psittaci,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
CPT,Chlamydophila psittaci,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
CPU,Clostridium putrificum,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
CPV,Cryptosporidium parvum,w,Other,No,2025-05-26,WHONET Organisms.txt
CPX,Candida parapsilosis complex,f,Fungus,No,2025-05-26,WHONET Organisms.txt
CRA,Clostridium ramosum,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
CRC,Corynebacterium cystitidis,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
CRE,Campylobacter rectus,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
CRE,Wolinella recta,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
CRG,Corynebacterium argentoratense,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
CRI,Cristispira sp.,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
CRM,Corynebacterium aurimucosum,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
CRN,Corynebacterium renale,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
CRO,Cronobacter sp.,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
CRP,Candida pararugosa,f,Fungus,No,2025-05-26,WHONET Organisms.txt
CRR,Cladophialophora carrionii,f,Fungus,No,2025-05-26,WHONET Organisms.txt
CRR,Cladosporium carrionii,f,Fungus,No,2025-05-26,WHONET Organisms.txt
CRS,Candida auris,f,Fungus,No,2025-05-26,WHONET Organisms.txt
CRT,Chryseobacterium arthrosphaerae,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
CRU,Candida rugosa,f,Fungus,No,2025-05-26,WHONET Organisms.txt
CRU,Diutina rugosa,f,Fungus,No,2025-05-26,WHONET Organisms.txt
CRY,Cryptococcus sp.,f,Fungus,No,2025-05-26,WHONET Organisms.txt
CSA,Clostridium sartagoforme,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
CSA,Clostridium sartagoformum,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
CSC,Clostridium scatologenes,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
CSE,Clostridium septicum,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
CSG,Clostridium sporogenes,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
CSH,Campylobacter showae,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
CSI,Clonorchis sinensis,w,Other,No,2025-05-26,WHONET Organisms.txt
CSK,Citrobacter sedlakii,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
CSL,Candida stellatoidea,f,Fungus,No,2025-05-26,WHONET Organisms.txt
CSN,Clostridium sphenoides,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
CSO,Clostridium sordellii,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
CSP,Campylobacter sputorum ss. sputorum,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
CSP,Campylobacter sputorum,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
CSS,Clostridium sporosphaeroides,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
CST,Corynebacterium striatum,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
CSU,Clostridium subterminale,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
CSY,Clostridium symbiosum,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
CTA,Candida metapsilosis,f,Fungus,No,2025-05-26,WHONET Organisms.txt
CTE,Clostridium tetani,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
CTG,Comamonas terrigena,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
CTG,CDC EF-19,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
CTH,Candida orthopsilosis,f,Fungus,No,2025-05-26,WHONET Organisms.txt
CTN,Candida tenuis,f,Fungus,No,2025-05-26,WHONET Organisms.txt
CTN,Yamadazyma tenuis,f,Fungus,No,2025-05-26,WHONET Organisms.txt
CTO,Cittotaenia sp.,w,Other,No,2025-05-26,WHONET Organisms.txt
CTR,Candida tropicalis,f,Fungus,No,2025-05-26,WHONET Organisms.txt
CTR,Candida paratropicalis,f,Fungus,No,2025-05-26,WHONET Organisms.txt
CTS,Comamonas testosteroni,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
CTS,Pseudomonas testosteroni,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
CTT,Clostridium tertium,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
CTU,Solicoccozyma terrea,f,Fungus,No,2025-05-26,WHONET Organisms.txt
CTU,Cryptococcus terreus,f,Fungus,No,2025-05-26,WHONET Organisms.txt
CUB,Cutibacterium sp.,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
CUG,Cryptococcus uniguttulatus,f,Fungus,No,2025-05-26,WHONET Organisms.txt
CUI,Candida bracarensis,f,Fungus,No,2025-05-26,WHONET Organisms.txt
CUL,Corynebacterium ulcerans,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
CUN,Cunninghamella sp.,f,Fungus,No,2025-05-26,WHONET Organisms.txt
CUP,Campylobacter upsaliensis,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
CUR,Curvularia sp.,f,Fungus,No,2025-05-26,WHONET Organisms.txt
CUT,Candida utilis,f,Fungus,No,2025-05-26,WHONET Organisms.txt
CUT,Cyberlindnera jadinii,f,Fungus,No,2025-05-26,WHONET Organisms.txt
CUV,Cupriavidus sp.,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
CVB,Pseudomonas stutzeri-like,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
CVB,CDC Vb-3,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
CVI,Chromobacterium violaceum,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
CVN,Candida vini,f,Fungus,No,2025-05-26,WHONET Organisms.txt
CVS,Clavispora sp.,f,Fungus,No,2025-05-26,WHONET Organisms.txt
CVW,Candida viswanathii,f,Fungus,No,2025-05-26,WHONET Organisms.txt
CWE,Citrobacter werkmanii,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
CXA,"Candida, not albicans",f,Fungus,No,2025-05-26,WHONET Organisms.txt
CXE,Corynebacterium xerosis,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
CXV,Coxsackievirus,v,Unknown,No,2025-05-26,WHONET Organisms.txt
CYA,Chlamydia abortus,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
CYA,Chlamydophila abortus,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
CYB,Cyberlindnera sp.,f,Fungus,No,2025-05-26,WHONET Organisms.txt
CYC,Cyclospora sp.,w,Other,No,2025-05-26,WHONET Organisms.txt
CYD,Cryptococcus deuterogattii,f,Fungus,No,2025-05-26,WHONET Organisms.txt
CYE,Corynebacterium coyleae,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
CYL,Cylindrocarpon sp.,f,Fungus,No,2025-05-26,WHONET Organisms.txt
CYN,Cylindrocarpon cyanescens,f,Fungus,No,2025-05-26,WHONET Organisms.txt
CYN,Neocosmospora cyanescens,f,Fungus,No,2025-05-26,WHONET Organisms.txt
CYO,Citrobacter youngae,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
CYR,Cryptococcus cereanus,f,Fungus,No,2025-05-26,WHONET Organisms.txt
CYR,Sporopachydermia cereana,f,Fungus,No,2025-05-26,WHONET Organisms.txt
CZE,Candida zeylanoides,f,Fungus,No,2025-05-26,WHONET Organisms.txt
D01,Shigella dysenteriae serotype 1,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
D02,Shigella dysenteriae serotype 2,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
D03,Shigella dysenteriae serotype 3,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
D04,Shigella dysenteriae serotype 4,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
D05,Shigella dysenteriae serotype 5,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
D06,Shigella dysenteriae serotype 6,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
D07,Shigella dysenteriae serotype 7,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
D08,Shigella dysenteriae serotype 8,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
D09,Shigella dysenteriae serotype 9,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
D10,Shigella dysenteriae serotype 10,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
D11,Shigella dysenteriae serotype 11,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
D12,Shigella dysenteriae serotype 12,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
D13,Shigella dysenteriae serotype 13,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
D14,Shigella dysenteriae serotype 14,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
D15,Shigella dysenteriae serotype 15,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
DAE,Desulfovibrio desulfuricans ss. aestuarii,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
DBY,Debaryomyces sp.,f,Fungus,No,2025-05-26,WHONET Organisms.txt
DCA,Taenia canina,w,Other,No,2025-05-26,WHONET Organisms.txt
DCA,Dipylidium caninum,w,Other,No,2025-05-26,WHONET Organisms.txt
DCC,Dermacoccus sp.,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
DCO,Dermatophilus congolensis,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
DDE,Desulfovibrio desulfuricans ss. desulfuricans,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
DEB,Desulfobacter sp.,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
DEC,Desulfococcus sp.,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
DEF,Delftia sp.,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
DEI,Deinococcus sp.,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
DEL,Desulfobulbus sp.,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
DEM,Desulfovibrio,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
DEM,Desulfomonas sp.,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
DEN,Dendrostilbella sp.,f,Fungus,No,2025-05-26,WHONET Organisms.txt
DEP,Dermatophyte,f,Fungus,No,2025-05-26,WHONET Organisms.txt
DER,Dermabacter sp.,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
DES,Desulfosarcina sp.,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
DET,Dermatophilus sp.,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
DEV,Desulfovibrio sp.,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
DFR,Dientamoeba fragilis,w,Other,No,2025-05-26,WHONET Organisms.txt
DGV,Dengue virus,v,Unknown,No,2025-05-26,WHONET Organisms.txt
DHO,CDC Coryneform Group 5,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
DHO,Dermabacter hominis,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
DHO,CDC Coryneform Group 3,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
DIA,Dialister sp.,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
DIC,Dichelobacter sp.,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
DIE,Dientamoeba sp.,w,Other,No,2025-05-26,WHONET Organisms.txt
DIM,Dirofilaria immitis,w,Other,No,2025-05-26,WHONET Organisms.txt
DIP,Dipetalonema sp.,w,Other,No,2025-05-26,WHONET Organisms.txt
DIR,Dirofilaria sp.,w,Other,No,2025-05-26,WHONET Organisms.txt
DIU,Diutina sp.,f,Fungus,No,2025-05-26,WHONET Organisms.txt
DLA,Diphyllobothrium latum,w,Other,No,2025-05-26,WHONET Organisms.txt
DME,Gordius medinensis,w,Other,No,2025-05-26,WHONET Organisms.txt
DME,Dracunculus medinensis,w,Other,No,2025-05-26,WHONET Organisms.txt
DNI,Dermacoccus nishinomiyaensis,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
DNO,Dichelobacter nodosus,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
DOL,Dolosigranulum sp.,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
DPB,Diphyllobothrium sp.,w,Other,No,2025-05-26,WHONET Organisms.txt
DPD,Dipylidium sp.,w,Other,No,2025-05-26,WHONET Organisms.txt
DPG,Desulfovibrio piger,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
DPG,Desulfomonas pigra,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
DPI,Dolosigranulum pigrum,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
DPN,Bacteroides pneumosintes,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
DPN,Dialister pneumosintes,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
DRA,Dracunculus sp.,w,Other,No,2025-05-26,WHONET Organisms.txt
DRB,Salmonella Derby,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
DRE,Drechslera sp.,f,Fungus,No,2025-05-26,WHONET Organisms.txt
DRM,Dermacentor sp.,i,Unknown,No,2025-05-26,WHONET Organisms.txt
DXE,"Streptococcus, Group D (non-enterococcal)",+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
DXX,"Shigella dysenteriae, nontypable",-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
E26,Bordetella-like species,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
E26,CDC EF-26,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
E4A,CDC EF-4a,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
E4B,CDC EF-4b,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
EA1,Enterobacter amnigenus 1,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
EA2,Enterobacter amnigenus 2,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
EAA,"Escherichia coli, enteroaggregative (EAEC)",-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
EAC,Pseudoramibacter alactolyticus,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
EAC,Eubacterium alactolyticum,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
EAD,Escherichia coli (alkalescens-dispar),-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
EAE,Klebsiella aerogenes,-,Gram-negative,Yes,2025-05-26,WHONET Organisms.txt
EAE,Enterobacter aerogenes,-,Gram-negative,Yes,2025-05-26,WHONET Organisms.txt
EAE,Klebsiella mobilis,-,Gram-negative,Yes,2025-05-26,WHONET Organisms.txt
EAF,Collinsella aerofaciens,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
EAF,Eubacterium aerofaciens,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
EAG,Enterobacter agglomerans,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
EAG,Pantoea agglomerans,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
EAL,Erwinia amylovora,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
EAM,Enterobacter amnigenus,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
EAN,Enterococcus asini,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
EAR,Ewingella americana,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
EAS,Enterobacter asburiae,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
EAS,CDC Enteric Group 17,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
EAT,Enterobacter catenibacterium,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
EAV,Enterococcus avium,+,Gram-positive,Yes,2025-05-26,WHONET Organisms.txt
EBI,Enterocytozoon bieneusi,w,Other,No,2025-05-26,WHONET Organisms.txt
EBI,Encephalitozoon bieneusi,w,Other,No,2025-05-26,WHONET Organisms.txt
EBL,Escherichia blattae,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
EBL,Shimwellia blattae,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
EBR,Empedobacter brevis,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
EBR,Flavobacterium breve,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
EBV,Epstein-Barr virus,v,Unknown,Yes,2025-05-26,WHONET Organisms.txt
EBY,Eubacterium brachy,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
ECA,Enterococcus casseliflavus,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
ECB,Enterococcus columbae,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
ECC,Enterococcus cecorum,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
ECE,Erwinia carnegieana,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
ECG,Enterobacter cancerogenus (taylorae),-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
ECG,Enterobacter taylorae,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
ECH,Echinococcus sp.,w,Other,No,2025-05-26,WHONET Organisms.txt
ECI,Entamoeba coli,w,Other,No,2025-05-26,WHONET Organisms.txt
ECL,Enterobacter cloacae,-,Gram-negative,Yes,2025-05-26,WHONET Organisms.txt
ECM,Eubacterium combesii,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
ECN,Eubacterium contortum,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
ECO,Escherichia coli,-,Gram-negative,Yes,2025-05-26,WHONET Organisms.txt
ECR,CDC HB-1,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
ECR,Eikenella corrodens,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
ECS,Echinostoma sp.,w,Other,No,2025-05-26,WHONET Organisms.txt
ECT,Pectobacterium carotovorum carotovorum,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
ECT,Erwinia carotovora,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
ECV,Echovirus,v,Unknown,No,2025-05-26,WHONET Organisms.txt
ECX,Enterobacter cloacae complex,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
ECY,Eubacterium cylindroides,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
EDA,Edwardsiella anguillarum,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
EDC,Edwardsiella piscicida,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
EDI,Enterobacter cloacae ss. dissolvens,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
EDI,Enterobacter dissolvens,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
EDP,Entamoeba dispar,w,Other,No,2025-05-26,WHONET Organisms.txt
EDS,Enterococcus dispar,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
EDU,Streptococcus durans,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
EDU,Enterococcus durans,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
EDW,Edwardsiella sp.,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
EEH,"Escherichia coli, enterohemorrhagic (EHEC)",-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
EEI,"Escherichia coli, enteroinvasive (EIEC)",-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
EEP,"Escherichia coli, enteropathogenic (EPEC)",-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
EET,"Escherichia coli, enterotoxigenic (ETEC)",-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
EF4,CDC EF-4,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
EF4,Pasteurella-like (CDC EF-4),-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
EFA,Streptococcus faecalis,+,Gram-positive,Yes,2025-05-26,WHONET Organisms.txt
EFA,Enterococcus faecalis,+,Gram-positive,Yes,2025-05-26,WHONET Organisms.txt
EFE,CDC Enteric Group 10,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
EFE,Escherichia fergusonii,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
EFL,Epidermophyton floccosum,f,Fungus,No,2025-05-26,WHONET Organisms.txt
EFM,Streptococcus faecium,+,Gram-positive,Yes,2025-05-26,WHONET Organisms.txt
EFM,Enterococcus faecium,+,Gram-positive,Yes,2025-05-26,WHONET Organisms.txt
EFV,Enterococcus flavescens,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
EGA,Enterococcus gallinarum,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
EGG,Enterobacter gergoviae,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
EGI,Entamoeba gingivalis,w,Other,No,2025-05-26,WHONET Organisms.txt
EGR,Echinococcus granulosus,w,Other,No,2025-05-26,WHONET Organisms.txt
EGR,Hydatigena granulosa,w,Other,No,2025-05-26,WHONET Organisms.txt
EGT,Eggerthella sp.,a,Anaerobe,No,2025-05-26,WHONET Organisms.txt
EGV,Enterococcus gilvus,+,Gram-positive,No,2025-05-26,WHONET Organisms.txt
EHA,Entamoeba hartmanni,w,Other,No,2025-05-26,WHONET Organisms.txt
EHC,Ehrlichia canis,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
EHE,Escherichia hermannii,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
EHE,CDC Enteric Group 11,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
EHF,Ehrlichia chaffeensis,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
EHI,Entamoeba histolytica,w,Other,No,2025-05-26,WHONET Organisms.txt
EHM,Enterobacter hormaechei,-,Gram-negative,No,2025-05-26,WHONET Organisms.txt
